iter	Passed	Remaining
169	2793	46498
170	2817	46614
171	2836	46642
172	2860	46745
173	2883	46832
174	2903	46865
175	2919	46842
176	2932	46777
177	2948	46752
178	2966	46744
179	2980	46698
180	2998	46695
181	3016	46702
182	3030	46650
183	3044	46600
184	3060	46576
185	3078	46577
186	3094	46551
187	3110	46524
188	3124	46473
189	3141	46467
190	3156	46423
191	3172	46393
192	3185	46336
193	3200	46288
194	3215	46251
195	3228	46187
196	3241	46121
197	3256	46077
198	3272	46055
199	3290	46068
200	3308	46072
201	3323	46042
202	3339	46014
203	3354	45975
204	3369	45941
205	3387	45940
206	3403	45927
207	3421	45920
208	3439	45929
209	3456	45927
210	3474	45922
211	3488	45878
212	3505	45872
213	3522	45856
214	3539	45846
215	3556	45837
216	3572	45811
217	3586	45772
218	3601	45735
219	3616	45696
220	3631	45662
221	3648	45655
222	3663	45622
223	3679	45602
224	3696	45584
225	3714	45588
226	3730	45567
227	3747	45557
228	3762	45521
229	3777	45499
230	3796	45511
231	3815	45526
232	3830	45492
233	3849	45497
234	3864	45465
235	3879	45430
236	3891	45369
237	3909	45366
238	3924	45338
239	3937	45285
240	3955	45284
241	3969	45244
242	3982	45180
243	3999	45176
244	4014	45142
245	4028	45101
246	4042	45057
247	4057	45021
248	4071	44982
249	4086	44955
250	4103	44938
251	4117	44903
252	4133	44882
253	4152	44888
254	4167	44863
255	4183	44837
256	4200	44834
257	4220	44855
258	4239	44865
259	4257	44866
260	4274	44859
261	4289	44831
262	4297	44725
263	4312	44692
264	4331	44701
265	4349	44700
266	4371	44745
267	4392	44774
268	4422	44901
269	4445	44946
270	4467	44988
271	4488	45012
272	4509	45050
273	4533	45102
274	4557	45157
275	4577	45176
276	4596	45189
277	4617	45207
278	4634	45199
279	4648	45161
280	4670	45189
281	4687	45175
282	4705	45178
283	4721	45155
284	4739	45151
285	4756	45137
286	4772	45117
287	4786	45077
288	4806	45088
289	4824	45088
290	4849	45147
291	4882	45281
292	4897	45246
293	4915	45244
294	4920	45117
295	4934	45079
296	4949	45045
297	4962	44993
298	4976	44956
299	4992	44933
300	5007	44901
301	5028	44921
302	5044	44898
303	5060	44882
304	5074	44837
305	5089	44804
306	5105	44786
307	5121	44761
308	5136	44736
309	5151	44699
310	5168	44691
311	5187	44690
312	5204	44675
313	5219	44645
314	5236	44632
315	5250	44595
316	5265	44561
317	5280	44535
318	5298	44530
319	5313	44499
320	5326	44452
321	5342	44435
322	5359	44419
323	5376	44402
324	5393	44391
325	5407	44357
326	5422	44324
327	5437	44298
328	5455	44288
329	5470	44262
330	5483	44215
331	5499	44197
332	5519	44205
333	5538	44205
334	5551	44167
335	5569	44159
336	5588	44162
337	5604	44141
338	5621	44129
339	5639	44117
340	5655	44096
341	5673	44090
342	5689	44069
343	5703	44039
344	5719	44012
345	5736	43999
346	5759	44032
347	5774	44006
348	5790	43982
349	5805	43954
350	5821	43933
351	5838	43920
352	5857	43922
353	5873	43904
354	5891	43896
355	5908	43880
356	5924	43860
357	5942	43858
358	5957	43826
359	5975	43823
360	5993	43816
361	6010	43802
362	6025	43768
363	6039	43738
364	6055	43716
365	6070	43686
366	6088	43679
367	6105	43664
368	6122	43656
369	6135	43615
370	6152	43596
371	6168	43580
372	6185	43565
373	6201	43542
374	6218	43526
375	6232	43492
376	6246	43461
377	6263	43443
378	6279	43427
379	6297	43421
380	6314	43404
381	6330	43387
382	6348	43378
383	6363	43351
384	6379	43331
385	6396	43317
386	6414	43311
387	6431	43296
388	6447	43275
389	6462	43251
390	6477	43218
391	6493	43203
392	6509	43180
393	6525	43161
394	6541	43143
395	6559	43132
396	6573	43099
397	6587	43070
398	6602	43042
399	6620	43030
400	6635	43007
401	6652	42994
402	6667	42968
403	6683	42948
404	6700	42931
405	6717	42921
